DATE,NYUR
11/1/02,6.1
12/1/02,6.2
1/1/03,6.3
2/1/03,6.3
3/1/03,6.3
4/1/03,6.3
5/1/03,6.4
6/1/03,6.4
7/1/03,6.5
8/1/03,6.5
9/1/03,6.5
10/1/03,6.4
11/1/03,6.4
12/1/03,6.4
1/1/04,6.4
2/1/04,6.3
3/1/04,6.3
4/1/04,6.1
5/1/04,6
6/1/04,5.9
7/1/04,5.7
8/1/04,5.6
9/1/04,5.5
10/1/04,5.4
11/1/04,5.3
12/1/04,5.2
1/1/05,5.1
2/1/05,5.1
3/1/05,5
4/1/05,5
5/1/05,4.9
6/1/05,4.9
7/1/05,5
8/1/05,5
9/1/05,5.1
10/1/05,5
11/1/05,5
12/1/05,4.9
1/1/06,4.8
2/1/06,4.8
3/1/06,4.7
4/1/06,4.7
5/1/06,4.7
6/1/06,4.7
7/1/06,4.6
8/1/06,4.5
9/1/06,4.4
10/1/06,4.3
11/1/06,4.3
12/1/06,4.2
1/1/07,4.2
2/1/07,4.3
3/1/07,4.3
4/1/07,4.4
5/1/07,4.5
6/1/07,4.5
7/1/07,4.6
8/1/07,4.7
9/1/07,4.7
10/1/07,4.8
11/1/07,4.8
12/1/07,4.8
1/1/08,4.8
2/1/08,4.9
3/1/08,4.9
4/1/08,5
5/1/08,5.1
6/1/08,5.2
7/1/08,5.4
8/1/08,5.5
9/1/08,5.7
10/1/08,6
11/1/08,6.3
12/1/08,6.7
1/1/09,7.1
2/1/09,7.5
3/1/09,7.8
4/1/09,8.1
5/1/09,8.3
6/1/09,8.4
7/1/09,8.5
8/1/09,8.7
9/1/09,8.8
10/1/09,8.8
11/1/09,8.9
12/1/09,8.9
1/1/10,8.9
2/1/10,8.8
3/1/10,8.8
4/1/10,8.7
5/1/10,8.6
6/1/10,8.5
7/1/10,8.5
8/1/10,8.5
9/1/10,8.5
10/1/10,8.5
11/1/10,8.4
12/1/10,8.4
1/1/11,8.3
2/1/11,8.2
3/1/11,8.1
4/1/11,8.1
5/1/11,8.1
6/1/11,8.2
7/1/11,8.3
8/1/11,8.3
9/1/11,8.4
10/1/11,8.5
11/1/11,8.5
12/1/11,8.6
1/1/12,8.6
2/1/12,8.6
3/1/12,8.7
4/1/12,8.7
5/1/12,8.7
6/1/12,8.7
7/1/12,8.6
8/1/12,8.5
9/1/12,8.4
10/1/12,8.3
11/1/12,8.2
12/1/12,8.2
1/1/13,8.1
2/1/13,8.1
3/1/13,8
4/1/13,7.9
5/1/13,7.8
6/1/13,7.8
7/1/13,7.7
8/1/13,7.7
9/1/13,7.6
10/1/13,7.4
11/1/13,7.3
12/1/13,7.1
1/1/14,7
2/1/14,6.8
3/1/14,6.7
4/1/14,6.6
5/1/14,6.5
6/1/14,6.4
7/1/14,6.2
8/1/14,6.1
9/1/14,6
10/1/14,6
11/1/14,5.9
12/1/14,5.8
1/1/15,5.7
2/1/15,5.7
3/1/15,5.6
4/1/15,5.6
5/1/15,5.4
6/1/15,5.3
7/1/15,5.2
8/1/15,5
9/1/15,4.9
10/1/15,4.9
11/1/15,4.9
12/1/15,4.9
1/1/16,4.9
2/1/16,4.8
3/1/16,4.8
4/1/16,4.8
5/1/16,4.8
6/1/16,4.8
7/1/16,4.9
8/1/16,4.9
9/1/16,4.9
10/1/16,4.9
11/1/16,4.9
12/1/16,4.8
1/1/17,4.7
2/1/17,4.7
3/1/17,4.7
4/1/17,4.7
5/1/17,4.7
6/1/17,4.7
7/1/17,4.7
8/1/17,4.7
9/1/17,4.7
10/1/17,4.6
11/1/17,4.6
12/1/17,4.6
1/1/18,4.5
2/1/18,4.5
3/1/18,4.4
4/1/18,4.3
5/1/18,4.2
6/1/18,4.1
7/1/18,4
8/1/18,3.9
9/1/18,3.8
10/1/18,3.8
11/1/18,3.9
12/1/18,3.9
1/1/19,3.9
2/1/19,3.9
